year_month,month_of_release,direction,citizenship,visa,country_of_residence,mean_estimate,standard_error,status
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Australia,415,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Austria,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Bahrain,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Canada,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,"China, People's Republic of",2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Denmark,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,France,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Hong Kong (Special Administrative Region),1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,India,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Ireland,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Japan,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Laos,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Not Stated,13,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Qatar,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,South Africa,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Spain,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,Taiwan,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,TOTAL,484,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,United Kingdom,16,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,NZ and Australian citizens,United States of America,13,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Afghanistan,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Algeria,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Cambodia,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Canada,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Chile,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,"China, People's Republic of",3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Fiji,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,France,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Germany,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,India,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Indonesia,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Japan,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,"Korea, Republic of",7,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Lebanon,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Netherlands,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Not Stated,6,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Papua New Guinea,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Peru,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Philippines,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Russia,7,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Samoa,3,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Saudi Arabia,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Slovenia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Thailand,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Tonga,15,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,TOTAL,97,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,United Arab Emirates,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,United Kingdom,4,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,United States of America,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Other,Viet Nam,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Afghanistan,5,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Albania,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Australia,36,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Austria,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Bahamas,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Bahrain,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Bangladesh,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Bermuda,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Brazil,2,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Burundi,8,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Cambodia,1,0,Provisional
2017-08,2018-11,Arrivals,non-NZ,Resident,Canada,5,0,Provisional
